"EnsID.y","EnsID","EnsName.x","GeneClassUpdate.x","EnsName.y","GeneClassUpdate.y","pairs","AbsDistLnc_PCG","DistLnc_PCG","str.x","str.y","LncRNA-PCG Relationship"
"ENSG00000006606.8","ENSG00000205485.13","AC004980.7","Bona fide lncRNA","CCL26","Protein coding","ENSG00000205485.13-ENSG00000006606.8",777.103,777.103,"+","-","Intergenic"
"ENSG00000006625.17","ENSG00000225264.3","ZNRF2P2","Bona fide lncRNA","GGCT","Protein coding","ENSG00000225264.3-ENSG00000006625.17",819.574,-819.574,"-","-","Intergenic"
"ENSG00000006634.7","ENSG00000182165.17","TP53TG1","Bona fide lncRNA","DBF4","CC","ENSG00000182165.17-ENSG00000006634.7",530.701,-530.701,"-","+","Intergenic"
"ENSG00000006634.7","ENSG00000224046.1","AC005076.5","Bona fide lncRNA","DBF4","CC","ENSG00000224046.1-ENSG00000006634.7",723.796,-723.796,"-","+","Intergenic"
"ENSG00000006695.10","ENSG00000236088.9","COX10-AS1","Bona fide lncRNA","COX10","Protein coding","ENSG00000236088.9-ENSG00000006695.10",0.017,-0.017,"-","+","Bidirectional"
"ENSG00000006756.15","ENSG00000223773.7","CD99P1","Bona fide lncRNA","ARSD","Protein coding","ENSG00000223773.7-ENSG00000006756.15",308.484,-308.484,"+","-","Intergenic"
"ENSG00000006831.9","MSTRG.6504",NA,"Bona fide lncRNA","ADIPOR2","Protein coding","MSTRG.6504-ENSG00000006831.9",565.196,565.196,"-","+","Intergenic"
"ENSG00000007047.14","ENSG00000267757.4","EML2-AS1","Bona fide lncRNA","MARK4","Protein coding","ENSG00000267757.4-ENSG00000007047.14",378.503,378.503,"+","+","Intergenic"
"ENSG00000007080.10","MSTRG.16351",NA,"Bona fide lncRNA","CCDC124","Protein coding","MSTRG.16351-ENSG00000007080.10",273.216,273.216,"+","+","Intergenic"
"ENSG00000007080.10","ENSG00000269439.5a","CTD-3131K8.2","Bona fide lncRNA","CCDC124","Protein coding","ENSG00000269439.5a-ENSG00000007080.10",421.127,-421.127,"-","+","Intergenic"
"ENSG00000007168.12","ENSG00000186594.14","MIR22HG","Bona fide lncRNA","PAFAH1B1","Protein coding","ENSG00000186594.14-ENSG00000007168.12",876.46,-876.46,"-","+","Intergenic"
"ENSG00000007237.18","ENSG00000263400.6","TMEM220-AS1","Bona fide lncRNA","GAS7","Protein coding","ENSG00000263400.6-ENSG00000007237.18",531.226,531.226,"+","-","Intergenic"
"ENSG00000007237.18","ENSG00000273388.1","RP11-401O9.4","Bona fide lncRNA","GAS7","Protein coding","ENSG00000273388.1-ENSG00000007237.18",93.269,93.269,"+","-","Intergenic"
"ENSG00000007237.18","ENSG00000264067.1","RP11-401O9.3","Bona fide lncRNA","GAS7","Protein coding","ENSG00000264067.1-ENSG00000007237.18",121.841,121.841,"+","-","Intergenic"
"ENSG00000007255.10","ENSG00000267757.4","EML2-AS1","Bona fide lncRNA","TRAPPC6A","Protein coding","ENSG00000267757.4-ENSG00000007255.10",463.257,463.257,"+","-","Intergenic"
"ENSG00000007341.18","ENSG00000226419.7","SLC16A1-AS1","Bona fide lncRNA","ST7L","Protein coding","ENSG00000226419.7-ENSG00000007341.18",335.59,335.59,"+","-","Intergenic"
"ENSG00000007520.3","ENSG00000260260.1","SNHG19","Bona fide lncRNA","TSR3","Protein coding","ENSG00000260260.1-ENSG00000007520.3",803.447,803.447,"-","-","Intergenic"
"ENSG00000007520.3","ENSG00000260778.5","RP11-304L19.13","Bona fide lncRNA","TSR3","Protein coding","ENSG00000260778.5-ENSG00000007520.3",916.244,916.244,"+","-","Intergenic"
"ENSG00000007545.15","ENSG00000260260.1","SNHG19","Bona fide lncRNA","CRAMP1","Protein coding","ENSG00000260260.1-ENSG00000007545.15",484.891,484.891,"-","+","Intergenic"
"ENSG00000007545.15","ENSG00000260565.6","ERVK13-1","Bona fide lncRNA","CRAMP1","Protein coding","ENSG00000260565.6-ENSG00000007545.15",994.883,994.883,"-","+","Intergenic"
"ENSG00000007545.15","ENSG00000260778.5","RP11-304L19.13","Bona fide lncRNA","CRAMP1","Protein coding","ENSG00000260778.5-ENSG00000007545.15",597.688,597.688,"+","+","Intergenic"
"ENSG00000007866.19","ENSG00000272288.5","RP11-140K17.3","Bona fide lncRNA","TEAD3","TF","ENSG00000272288.5-ENSG00000007866.19",789.717,-789.717,"+","-","Intergenic"
"ENSG00000007944.14","ENSG00000229931.1","RP1-151F17.1","Bona fide lncRNA","MYLIP","Protein coding","ENSG00000229931.1-ENSG00000007944.14",632.237,632.237,"+","+","Intergenic"
"ENSG00000008128.22","ENSG00000177757.2","FAM87B","Bona fide lncRNA","CDK11A","Protein coding","ENSG00000177757.2-ENSG00000008128.22",886.745,-886.745,"+","-","Intergenic"
"ENSG00000008128.22","ENSG00000228794.8","LINC01128","Bona fide lncRNA","CDK11A","Protein coding","ENSG00000228794.8-ENSG00000008128.22",872.511,-872.511,"+","-","Intergenic"
"ENSG00000008128.22","MSTRG.124",NA,"Bona fide lncRNA","CDK11A","Protein coding","MSTRG.124-ENSG00000008128.22",6.685,-6.685,"+","-","Intergenic"
"ENSG00000008128.22","ENSG00000224870.6","RP4-758J18.2","Bona fide lncRNA","CDK11A","Protein coding","ENSG00000224870.6-ENSG00000008128.22",304.31,-304.31,"+","-","Intergenic"
"ENSG00000008130.15","ENSG00000224870.6","RP4-758J18.2","Bona fide lncRNA","NADK","Protein coding","ENSG00000224870.6-ENSG00000008130.15",378.613,-378.613,"+","-","Intergenic"
"ENSG00000008130.15","MSTRG.124",NA,"Bona fide lncRNA","NADK","Protein coding","MSTRG.124-ENSG00000008130.15",80.988,-80.988,"+","-","Intergenic"
"ENSG00000008130.15","ENSG00000228794.8","LINC01128","Bona fide lncRNA","NADK","Protein coding","ENSG00000228794.8-ENSG00000008130.15",946.814,-946.814,"+","-","Intergenic"
"ENSG00000008130.15","ENSG00000177757.2","FAM87B","Bona fide lncRNA","NADK","Protein coding","ENSG00000177757.2-ENSG00000008130.15",961.048,-961.048,"+","-","Intergenic"
"ENSG00000008382.15","MSTRG.15887",NA,"Bona fide lncRNA","MPND","Protein coding","MSTRG.15887-ENSG00000008382.15",369.576,369.576,"+","+","Intergenic"
"ENSG00000008441.16","ENSG00000219665.8","CTD-2006C1.2","Bona fide lncRNA","NFIX","TF","ENSG00000219665.8-ENSG00000008441.16",961.032,-961.032,"+","+","Intergenic"
"ENSG00000008441.16","ENSG00000267519.5","CTD-3252C9.4","Bona fide lncRNA","NFIX","TF","ENSG00000267519.5-ENSG00000008441.16",811.709,811.709,"-","+","Intergenic"
"ENSG00000008517.16","ENSG00000263072.6","ZNF213-AS1","Bona fide lncRNA","IL32","Protein coding","ENSG00000263072.6-ENSG00000008517.16",63.66,63.66,"-","+","Intergenic"
"ENSG00000008517.16","ENSG00000260260.1","SNHG19","Bona fide lncRNA","IL32","Protein coding","ENSG00000260260.1-ENSG00000008517.16",909.939,-909.939,"-","+","Intergenic"
"ENSG00000008517.16","ENSG00000261971.6","MMP25-AS1","Bona fide lncRNA","IL32","Protein coding","ENSG00000261971.6-ENSG00000008517.16",5.927,-5.927,"-","+","Intergenic"
"ENSG00000008517.16","ENSG00000260565.6","ERVK13-1","Bona fide lncRNA","IL32","Protein coding","ENSG00000260565.6-ENSG00000008517.16",391.853,-391.853,"-","+","Intergenic"
"ENSG00000008517.16","ENSG00000262185.1","RP11-462G12.1","Bona fide lncRNA","IL32","Protein coding","ENSG00000262185.1-ENSG00000008517.16",884.805,884.805,"-","+","Intergenic"
"ENSG00000008517.16","ENSG00000260778.5","RP11-304L19.13","Bona fide lncRNA","IL32","Protein coding","ENSG00000260778.5-ENSG00000008517.16",796.634,-796.634,"+","+","Intergenic"
"ENSG00000008710.19","ENSG00000260778.5","RP11-304L19.13","Bona fide lncRNA","PKD1","Protein coding","ENSG00000260778.5-ENSG00000008710.19",132.257,132.257,"+","-","Intergenic"
"ENSG00000008710.19","ENSG00000260260.1","SNHG19","Bona fide lncRNA","PKD1","Protein coding","ENSG00000260260.1-ENSG00000008710.19",19.46,19.46,"-","-","Intergenic"
"ENSG00000008710.19","ENSG00000260565.6","ERVK13-1","Bona fide lncRNA","PKD1","Protein coding","ENSG00000260565.6-ENSG00000008710.19",529.452,529.452,"-","-","Intergenic"
"ENSG00000008710.19","ENSG00000263072.6","ZNF213-AS1","Bona fide lncRNA","PKD1","Protein coding","ENSG00000263072.6-ENSG00000008710.19",993.401,993.401,"-","-","Intergenic"
"ENSG00000008710.19","ENSG00000261971.6","MMP25-AS1","Bona fide lncRNA","PKD1","Protein coding","ENSG00000261971.6-ENSG00000008710.19",922.549,922.549,"-","-","Intergenic"
"ENSG00000008838.19","ENSG00000265666.1","RARA-AS1","Bona fide lncRNA","MED24","Protein coding","ENSG00000265666.1-ENSG00000008838.19",288.72,288.72,"-","-","Intergenic"
"ENSG00000008869.11","ENSG00000260025.1","RP11-490M8.1","Bona fide lncRNA","HEATR5B","Protein coding","ENSG00000260025.1-ENSG00000008869.11",700.937,-700.937,"-","-","Intergenic"
"ENSG00000008952.16","MSTRG.23413",NA,"Bona fide lncRNA","SEC62","Protein coding","MSTRG.23413-ENSG00000008952.16",770.1,770.1,"-","+","Intergenic"
"ENSG00000009307.15","MSTRG.1727",NA,"Bona fide lncRNA","CSDE1","Protein coding","MSTRG.1727-ENSG00000009307.15",481.243,481.243,"+","-","Intergenic"
"ENSG00000009335.17","ENSG00000182648.11","LINC01006","Bona fide lncRNA","UBE3C","Protein coding","ENSG00000182648.11-ENSG00000009335.17",498.259,-498.259,"-","+","Intergenic"
"ENSG00000009413.15","ENSG00000231889.7","TRAF3IP2-AS1","Bona fide lncRNA","REV3L","Protein coding","ENSG00000231889.7-ENSG00000009413.15",0.182,0.182,"+","-","Bidirectional"
"ENSG00000009780.15","ENSG00000197989.13","SNHG12","Bona fide lncRNA","FAM76A","Protein coding","ENSG00000197989.13-ENSG00000009780.15",855.201,855.201,"-","+","Intergenic"
"ENSG00000009844.15","MSTRG.28277",NA,"Bona fide lncRNA","VTA1","Protein coding","MSTRG.28277-ENSG00000009844.15",799.204,799.204,"+","+","Intergenic"
"ENSG00000010072.15","ENSG00000223393.1","RP5-858B6.3","Bona fide lncRNA","SPRTN","Protein coding","ENSG00000223393.1-ENSG00000010072.15",462.258,-462.258,"+","+","Intergenic"
"ENSG00000010072.15","ENSG00000233461.5","RP11-295G20.2","Bona fide lncRNA","SPRTN","Protein coding","ENSG00000233461.5-ENSG00000010072.15",180.879,180.879,"-","+","Intergenic"
"ENSG00000010165.19","MSTRG.2469",NA,"Bona fide lncRNA","METTL13","Protein coding","MSTRG.2469-ENSG00000010165.19",356.931,356.931,"-","+","Intergenic"
"ENSG00000010278.12","ENSG00000215039.6","CD27-AS1","Bona fide lncRNA","CD9","Protein coding","ENSG00000215039.6-ENSG00000010278.12",248.336,248.336,"-","+","Intergenic"
"ENSG00000010278.12","ENSG00000205885.7","C1RL-AS1","Bona fide lncRNA","CD9","Protein coding","ENSG00000205885.7-ENSG00000010278.12",907.859,907.859,"+","+","Intergenic"
"ENSG00000010292.12","ENSG00000205885.7","C1RL-AS1","Bona fide lncRNA","NCAPD2","CC","ENSG00000205885.7-ENSG00000010292.12",614.921,614.921,"+","+","Intergenic"
"ENSG00000010292.12","ENSG00000215039.6","CD27-AS1","Bona fide lncRNA","NCAPD2","CC","ENSG00000215039.6-ENSG00000010292.12",41.831,-41.831,"-","+","Intergenic"
"ENSG00000010295.19","ENSG00000205885.7","C1RL-AS1","Bona fide lncRNA","IFFO1","Protein coding","ENSG00000205885.7-ENSG00000010295.19",552.225,552.225,"+","-","Intergenic"
"ENSG00000010295.19","ENSG00000215039.6","CD27-AS1","Bona fide lncRNA","IFFO1","Protein coding","ENSG00000215039.6-ENSG00000010295.19",97.565,-97.565,"-","-","Intergenic"
"ENSG00000010438.16","ENSG00000233554.5","B4GALT1-AS1","Bona fide lncRNA","PRSS3","Protein coding","ENSG00000233554.5-ENSG00000010438.16",583.542,-583.542,"+","+","Intergenic"
"ENSG00000010438.16","MSTRG.31782",NA,"Bona fide lncRNA","PRSS3","Protein coding","MSTRG.31782-ENSG00000010438.16",914.756,914.756,"+","+","Intergenic"
"ENSG00000010539.11","ENSG00000262185.1","RP11-462G12.1","Bona fide lncRNA","ZNF200","TF","ENSG00000262185.1-ENSG00000010539.11",714.988,714.988,"-","-","Intergenic"
"ENSG00000010539.11","ENSG00000260778.5","RP11-304L19.13","Bona fide lncRNA","ZNF200","TF","ENSG00000260778.5-ENSG00000010539.11",965.532,-965.532,"+","-","Intergenic"
"ENSG00000010539.11","ENSG00000260565.6","ERVK13-1","Bona fide lncRNA","ZNF200","TF","ENSG00000260565.6-ENSG00000010539.11",560.751,-560.751,"-","-","Intergenic"
"ENSG00000010539.11","ENSG00000263072.6","ZNF213-AS1","Bona fide lncRNA","ZNF200","TF","ENSG00000263072.6-ENSG00000010539.11",99.313,-99.313,"-","-","Intergenic"
"ENSG00000010539.11","ENSG00000261971.6","MMP25-AS1","Bona fide lncRNA","ZNF200","TF","ENSG00000261971.6-ENSG00000010539.11",174.825,-174.825,"-","-","Intergenic"
"ENSG00000010626.14","ENSG00000215039.6","CD27-AS1","Bona fide lncRNA","LRRC23","Protein coding","ENSG00000215039.6-ENSG00000010626.14",422.021,-422.021,"-","+","Intergenic"
"ENSG00000010626.14","ENSG00000205885.7","C1RL-AS1","Bona fide lncRNA","LRRC23","Protein coding","ENSG00000205885.7-ENSG00000010626.14",203.467,203.467,"+","+","Intergenic"
