"geneID","AnchorGene","CAT_geneClassII","mid.x","mid.y","AbsDistLnc_PCG","DistLnc_PCG","pairs"
"ENSG00000148719.10","CATG00000000131.1","coding_mRNA",72601427,72354978,246.449,246.449,"CATG00000000131.1-ENSG00000148719.10"
"ENSG00000156026.10","CATG00000000131.1","coding_mRNA",72601427,72692140,90.713,-90.713,"CATG00000000131.1-ENSG00000156026.10"
"ENSG00000035403.12","CATG00000000155.1","coding_mRNA",73781952,73998122.5,216.1705,-216.1705,"CATG00000000155.1-ENSG00000035403.12"
"ENSG00000122861.11","CATG00000000155.1","coding_mRNA",73781952,73911132.5,129.1805,-129.1805,"CATG00000000155.1-ENSG00000122861.11"
"ENSG00000148660.16","CATG00000000155.1","coding_mRNA",73781952,73874535.5,92.5835,-92.5835,"CATG00000000155.1-ENSG00000148660.16"
"ENSG00000166348.13","CATG00000000155.1","coding_mRNA",73781952,73591343,190.609,190.609,"CATG00000000155.1-ENSG00000166348.13"
"ENSG00000166507.12","CATG00000000155.1","coding_mRNA",73781952,73811595,29.643,-29.643,"CATG00000000155.1-ENSG00000166507.12"
"ENSG00000172586.7","CATG00000000155.1","coding_mRNA",73781952,73782058.5,0.1065,-0.1065,"CATG00000000155.1-ENSG00000172586.7"
"ENSG00000176986.10","CATG00000000155.1","coding_mRNA",73781952,73744390,37.562,37.562,"CATG00000000155.1-ENSG00000176986.10"
"ENSG00000177791.11","CATG00000000155.1","coding_mRNA",73781952,73647477.5,134.4745,134.4745,"CATG00000000155.1-ENSG00000177791.11"
"ENSG00000196968.6","CATG00000000155.1","coding_mRNA",73781952,73772690.5,9.2615,9.2615,"CATG00000000155.1-ENSG00000196968.6"
"ENSG00000214655.6","CATG00000000155.1","coding_mRNA",73781952,73785598.5,3.6465,-3.6465,"CATG00000000155.1-ENSG00000214655.6"
"ENSG00000267964.1","CATG00000000155.1","coding_mRNA",73781952,73772978,8.974,8.974,"CATG00000000155.1-ENSG00000267964.1"
"ENSG00000272916.1","CATG00000000155.1","coding_mRNA",73781952,73811595,29.643,-29.643,"CATG00000000155.1-ENSG00000272916.1"
"ENSG00000035403.12","CATG00000000159.1","coding_mRNA",73889177,73998122.5,108.9455,-108.9455,"CATG00000000159.1-ENSG00000035403.12"
"ENSG00000122861.11","CATG00000000159.1","coding_mRNA",73889177,73911132.5,21.9555,-21.9555,"CATG00000000159.1-ENSG00000122861.11"
"ENSG00000148660.16","CATG00000000159.1","coding_mRNA",73887370,73874535.5,12.8345,12.8345,"CATG00000000159.1-ENSG00000148660.16"
"ENSG00000166507.12","CATG00000000159.1","coding_mRNA",73887370,73811817.5,75.5525,75.5525,"CATG00000000159.1-ENSG00000166507.12"
"ENSG00000172586.7","CATG00000000159.1","coding_mRNA",73887370,73782058.5,105.3115,105.3115,"CATG00000000159.1-ENSG00000172586.7"
"ENSG00000176986.10","CATG00000000159.1","coding_mRNA",73887370,73744390,142.98,142.98,"CATG00000000159.1-ENSG00000176986.10"
"ENSG00000177791.11","CATG00000000159.1","coding_mRNA",73887370,73647477.5,239.8925,239.8925,"CATG00000000159.1-ENSG00000177791.11"
"ENSG00000196968.6","CATG00000000159.1","coding_mRNA",73887370,73772690.5,114.6795,114.6795,"CATG00000000159.1-ENSG00000196968.6"
"ENSG00000214655.6","CATG00000000159.1","coding_mRNA",73887370,73785598.5,101.7715,101.7715,"CATG00000000159.1-ENSG00000214655.6"
"ENSG00000267964.1","CATG00000000159.1","coding_mRNA",73887370,73772978,114.392,114.392,"CATG00000000159.1-ENSG00000267964.1"
"ENSG00000272916.1","CATG00000000159.1","coding_mRNA",73887370,73811595,75.775,75.775,"CATG00000000159.1-ENSG00000272916.1"
"ENSG00000156113.16","CATG00000000183.1","coding_mRNA",77520519,77637747,117.228,-117.228,"CATG00000000183.1-ENSG00000156113.16"
"ENSG00000138326.14","CATG00000000211.1","coding_mRNA",78040697,78033864,6.833,6.833,"CATG00000000211.1-ENSG00000138326.14"
"ENSG00000148606.8","CATG00000000211.1","coding_mRNA",78040697,78029507,11.19,11.19,"CATG00000000211.1-ENSG00000148606.8"
"ENSG00000151208.12","CATG00000000211.1","coding_mRNA",78040697,77926747.5,113.9495,113.9495,"CATG00000000211.1-ENSG00000151208.12"
"ENSG00000108219.10","CATG00000000247.1","coding_mRNA",80408419,80454314,45.895,-45.895,"CATG00000000247.1-ENSG00000108219.10"
"ENSG00000122359.13","CATG00000000247.1","coding_mRNA",80408419,80205573.5,202.8455,202.8455,"CATG00000000247.1-ENSG00000122359.13"
"ENSG00000122378.9","CATG00000000247.1","coding_mRNA",80408419,80408525.5,0.1065,-0.1065,"CATG00000000247.1-ENSG00000122378.9"
"ENSG00000178217.9","CATG00000000247.1","coding_mRNA",80408419,80536137,127.718,-127.718,"CATG00000000247.1-ENSG00000178217.9"
"ENSG00000062650.13","CATG00000000321.1","coding_mRNA",86711199.5,86521775.5,189.424,189.424,"CATG00000000321.1-ENSG00000062650.13"
"ENSG00000107779.7","CATG00000000321.1","coding_mRNA",86711199.5,86755812.5,44.613,-44.613,"CATG00000000321.1-ENSG00000107779.7"
"ENSG00000122367.15","CATG00000000321.1","coding_mRNA",86711199.5,86711318.5,0.119,-0.119,"CATG00000000321.1-ENSG00000122367.15"
"ENSG00000148671.9","CATG00000000321.1","coding_mRNA",86711199.5,86959394.5,248.195,-248.195,"CATG00000000321.1-ENSG00000148671.9"
"ENSG00000173267.9","CATG00000000321.1","coding_mRNA",86711199.5,86959394.5,248.195,-248.195,"CATG00000000321.1-ENSG00000173267.9"
"ENSG00000107789.11","CATG00000000327.1","coding_mRNA",87504814,87504874.5,0.0605,-0.0605,"CATG00000000327.1-ENSG00000107789.11"
"ENSG00000198682.8","CATG00000000327.1","coding_mRNA",87504814,87659862.5,155.0485,-155.0485,"CATG00000000327.1-ENSG00000198682.8"
"CATG00000000429.1","CATG00000000425.1","coding_mRNA",91613714.5,91410279,203.4355,203.4355,"CATG00000000425.1-CATG00000000429.1"
"ENSG00000107854.5","CATG00000000425.1","coding_mRNA",91613737,91798440.5,184.7035,-184.7035,"CATG00000000425.1-ENSG00000107854.5"
"ENSG00000119938.8","CATG00000000425.1","coding_mRNA",91613737,91633066.5,19.3295,-19.3295,"CATG00000000425.1-ENSG00000119938.8"
"ENSG00000165338.12","CATG00000000425.1","coding_mRNA",91613714.5,91410374,203.3405,203.3405,"CATG00000000425.1-ENSG00000165338.12"
"ENSG00000095564.9","CATG00000000449.1","coding_mRNA",91923730.5,91923800,0.0695,-0.0695,"CATG00000000449.1-ENSG00000095564.9"
"ENSG00000107854.5","CATG00000000449.1","coding_mRNA",91923730.5,91798440.5,125.29,125.29,"CATG00000000449.1-ENSG00000107854.5"
"ENSG00000119912.11","CATG00000000459.1","coding_mRNA",92689754,92574065.5,115.6885,115.6885,"CATG00000000459.1-ENSG00000119912.11"
"ENSG00000138160.4","CATG00000000459.1","coding_mRNA",92689754,92593143.5,96.6105,96.6105,"CATG00000000459.1-ENSG00000138160.4"
"ENSG00000138190.12","CATG00000000459.1","coding_mRNA",92689754,92848473,158.719,-158.719,"CATG00000000459.1-ENSG00000138190.12"
"ENSG00000152804.6","CATG00000000459.1","coding_mRNA",92689754,92689954,0.2,-0.2,"CATG00000000459.1-ENSG00000152804.6"
"ENSG00000138193.10","CATG00000000491.1","coding_mRNA",93876428,93993927,117.499,-117.499,"CATG00000000491.1-ENSG00000138193.10"
"ENSG00000148690.10","CATG00000000491.1","coding_mRNA",93876428,93702565,173.863,173.863,"CATG00000000491.1-ENSG00000148690.10"
"ENSG00000176273.10","CATG00000000491.1","coding_mRNA",93876428,93893969.5,17.5415,-17.5415,"CATG00000000491.1-ENSG00000176273.10"
"ENSG00000107443.11","CATG00000000529.1","coding_mRNA",96129942.5,96043557.5,86.385,86.385,"CATG00000000529.1-ENSG00000107443.11"
"ENSG00000077147.10","CATG00000000543.1","coding_mRNA",96831925.5,96587001,244.9245,244.9245,"CATG00000000543.1-ENSG00000077147.10"
"ENSG00000155629.10","CATG00000000543.1","coding_mRNA",96831925.5,96720513.5,111.412,111.412,"CATG00000000543.1-ENSG00000155629.10"
"ENSG00000196233.7","CATG00000000543.1","coding_mRNA",96832220,96832278.5,0.0585,-0.0585,"CATG00000000543.1-ENSG00000196233.7"
"ENSG00000075826.12","CATG00000000615.1","coding_mRNA",100361575.5,100529870.5,168.295,-168.295,"CATG00000000615.1-ENSG00000075826.12"
"ENSG00000095485.12","CATG00000000615.1","coding_mRNA",100361575.5,100267637,93.9385,93.9385,"CATG00000000615.1-ENSG00000095485.12"
"ENSG00000099194.5","CATG00000000615.1","coding_mRNA",100361575.5,100347354.5,14.221,14.221,"CATG00000000615.1-ENSG00000099194.5"
"ENSG00000107566.9","CATG00000000615.1","coding_mRNA",100361575.5,100186026.5,175.549,175.549,"CATG00000000615.1-ENSG00000107566.9"
"ENSG00000166135.9","CATG00000000615.1","coding_mRNA",100361575.5,100535942,174.3665,-174.3665,"CATG00000000615.1-ENSG00000166135.9"
"ENSG00000166136.11","CATG00000000615.1","coding_mRNA",100361575.5,100529870.5,168.295,-168.295,"CATG00000000615.1-ENSG00000166136.11"
"ENSG00000196072.7","CATG00000000615.1","coding_mRNA",100361575.5,100286684.5,74.891,74.891,"CATG00000000615.1-ENSG00000196072.7"
"ENSG00000213341.6","CATG00000000615.1","coding_mRNA",100361575.5,100229585,131.9905,131.9905,"CATG00000000615.1-ENSG00000213341.6"
"ENSG00000255339.2","CATG00000000615.1","coding_mRNA",100361575.5,100529870.5,168.295,-168.295,"CATG00000000615.1-ENSG00000255339.2"
"ENSG00000075826.12","CATG00000000618.1","coding_mRNA",100374004.5,100529870.5,155.866,-155.866,"CATG00000000618.1-ENSG00000075826.12"
"ENSG00000095485.12","CATG00000000618.1","coding_mRNA",100374004.5,100267637,106.3675,106.3675,"CATG00000000618.1-ENSG00000095485.12"
"ENSG00000099194.5","CATG00000000618.1","coding_mRNA",100374004.5,100347354.5,26.65,26.65,"CATG00000000618.1-ENSG00000099194.5"
"ENSG00000107566.9","CATG00000000618.1","coding_mRNA",100374004.5,100186026.5,187.978,187.978,"CATG00000000618.1-ENSG00000107566.9"
"ENSG00000166135.9","CATG00000000618.1","coding_mRNA",100374004.5,100535942,161.9375,-161.9375,"CATG00000000618.1-ENSG00000166135.9"
"ENSG00000166136.11","CATG00000000618.1","coding_mRNA",100374004.5,100529870.5,155.866,-155.866,"CATG00000000618.1-ENSG00000166136.11"
"ENSG00000196072.7","CATG00000000618.1","coding_mRNA",100374004.5,100286684.5,87.32,87.32,"CATG00000000618.1-ENSG00000196072.7"
"ENSG00000213341.6","CATG00000000618.1","coding_mRNA",100374004.5,100229585,144.4195,144.4195,"CATG00000000618.1-ENSG00000213341.6"
"ENSG00000255339.2","CATG00000000618.1","coding_mRNA",100374004.5,100529870.5,155.866,-155.866,"CATG00000000618.1-ENSG00000255339.2"
"ENSG00000059915.12","CATG00000000659.1","coding_mRNA",102395571.5,102398262.5,2.691,-2.691,"CATG00000000659.1-ENSG00000059915.12"
"ENSG00000077150.13","CATG00000000659.1","coding_mRNA",102395571.5,102395710.5,0.139,-0.139,"CATG00000000659.1-ENSG00000077150.13"
"ENSG00000107862.4","CATG00000000659.1","coding_mRNA",102394335.5,102245530.5,148.805,148.805,"CATG00000000659.1-ENSG00000107862.4"
"ENSG00000107872.8","CATG00000000659.1","coding_mRNA",102395571.5,102420836,25.2645,-25.2645,"CATG00000000659.1-ENSG00000107872.8"
"ENSG00000107874.6","CATG00000000659.1","coding_mRNA",102395571.5,102432594,37.0225,-37.0225,"CATG00000000659.1-ENSG00000107874.6"
"ENSG00000107882.7","CATG00000000659.1","coding_mRNA",102395571.5,102503970,108.3985,-108.3985,"CATG00000000659.1-ENSG00000107882.7"
"ENSG00000120055.5","CATG00000000659.1","coding_mRNA",102395571.5,102451504.5,55.933,-55.933,"CATG00000000659.1-ENSG00000120055.5"
"ENSG00000138107.7","CATG00000000659.1","coding_mRNA",102395571.5,102502718,107.1465,-107.1465,"CATG00000000659.1-ENSG00000138107.7"
"ENSG00000138111.10","CATG00000000659.1","coding_mRNA",102395571.5,102461406,65.8345,-65.8345,"CATG00000000659.1-ENSG00000138111.10"
"ENSG00000166197.12","CATG00000000659.1","coding_mRNA",102394335.5,102152391.5,241.944,241.944,"CATG00000000659.1-ENSG00000166197.12"
"ENSG00000171206.9","CATG00000000659.1","coding_mRNA",102395571.5,102643666,248.0945,-248.0945,"CATG00000000659.1-ENSG00000171206.9"
"ENSG00000107872.8","CATG00000000668.1","coding_mRNA",102657214.5,102421118,236.0965,236.0965,"CATG00000000668.1-ENSG00000107872.8"
"ENSG00000107874.6","CATG00000000668.1","coding_mRNA",102657214.5,102432594,224.6205,224.6205,"CATG00000000668.1-ENSG00000107874.6"
"ENSG00000107882.7","CATG00000000668.1","coding_mRNA",102657214.5,102504014,153.2005,153.2005,"CATG00000000668.1-ENSG00000107882.7"
"ENSG00000120055.5","CATG00000000668.1","coding_mRNA",102657214.5,102451543,205.6715,205.6715,"CATG00000000668.1-ENSG00000120055.5"
"ENSG00000138107.7","CATG00000000668.1","coding_mRNA",102657214.5,102502718,154.4965,154.4965,"CATG00000000668.1-ENSG00000138107.7"
"ENSG00000138111.10","CATG00000000668.1","coding_mRNA",102657214.5,102461406,195.8085,195.8085,"CATG00000000668.1-ENSG00000138111.10"
"ENSG00000138175.8","CATG00000000668.1","coding_mRNA",102657214.5,102714340,57.1255,-57.1255,"CATG00000000668.1-ENSG00000138175.8"
"ENSG00000148795.5","CATG00000000668.1","coding_mRNA",102657214.5,102854500,197.2855,-197.2855,"CATG00000000668.1-ENSG00000148795.5"
"ENSG00000156398.8","CATG00000000668.1","coding_mRNA",102657214.5,102714622.5,57.408,-57.408,"CATG00000000668.1-ENSG00000156398.8"
"ENSG00000166272.12","CATG00000000668.1","coding_mRNA",102657214.5,102776220.5,119.006,-119.006,"CATG00000000668.1-ENSG00000166272.12"
"ENSG00000166275.11","CATG00000000668.1","coding_mRNA",102657214.5,102854268.5,197.054,-197.054,"CATG00000000668.1-ENSG00000166275.11"
"ENSG00000171206.9","CATG00000000668.1","coding_mRNA",102657214.5,102643666,13.5485,13.5485,"CATG00000000668.1-ENSG00000171206.9"
"ENSG00000214435.3","CATG00000000668.1","coding_mRNA",102657214.5,102869474,212.2595,-212.2595,"CATG00000000668.1-ENSG00000214435.3"
"ENSG00000270316.1","CATG00000000668.1","coding_mRNA",102657214.5,102854268.5,197.054,-197.054,"CATG00000000668.1-ENSG00000270316.1"
"ENSG00000065613.9","CATG00000000700.1","coding_mRNA",103967033,103967166.5,0.1335,-0.1335,"CATG00000000700.1-ENSG00000065613.9"
"ENSG00000107960.6","CATG00000000700.1","coding_mRNA",103967033,103918183,48.85,48.85,"CATG00000000700.1-ENSG00000107960.6"
"ENSG00000156384.10","CATG00000000700.1","coding_mRNA",103967033,104121122.5,154.0895,-154.0895,"CATG00000000700.1-ENSG00000156384.10"
"ENSG00000065613.9","CATG00000000703.1","coding_mRNA",104121753,103967166.5,154.5865,154.5865,"CATG00000000703.1-ENSG00000065613.9"
"ENSG00000065621.10","CATG00000000703.1","coding_mRNA",104121911,104275152.5,153.2415,-153.2415,"CATG00000000703.1-ENSG00000065621.10"
"ENSG00000107960.6","CATG00000000703.1","coding_mRNA",104121753,103918183,203.57,203.57,"CATG00000000703.1-ENSG00000107960.6"
"ENSG00000120051.10","CATG00000000703.1","coding_mRNA",104121911,104338528.5,216.6175,-216.6175,"CATG00000000703.1-ENSG00000120051.10"
"ENSG00000148834.8","CATG00000000703.1","coding_mRNA",104121911,104254897,132.986,-132.986,"CATG00000000703.1-ENSG00000148834.8"
"ENSG00000148841.11","CATG00000000703.1","coding_mRNA",104121911,104338453,216.542,-216.542,"CATG00000000703.1-ENSG00000148841.11"
"ENSG00000156384.10","CATG00000000703.1","coding_mRNA",104121911,104122039,0.128,-0.128,"CATG00000000703.1-ENSG00000156384.10"
"ENSG00000197748.8","CATG00000000703.1","coding_mRNA",104121911,104232341,110.43,-110.43,"CATG00000000703.1-ENSG00000197748.8"
"ENSG00000078618.15","CATG00000000858.1","coding_mRNA",51879007.5,51878727,0.2805,0.2805,"CATG00000000858.1-ENSG00000078618.15"
"ENSG00000117859.14","CATG00000000858.1","coding_mRNA",51879007.5,51729847.5,149.16,149.16,"CATG00000000858.1-ENSG00000117859.14"
"ENSG00000117862.7","CATG00000000858.1","coding_mRNA",51879283.5,52055186.5,175.903,-175.903,"CATG00000000858.1-ENSG00000117862.7"
"ENSG00000134717.13","CATG00000000858.1","coding_mRNA",51879283.5,52056312,177.0285,-177.0285,"CATG00000000858.1-ENSG00000134717.13"
"ENSG00000169213.6","CATG00000000858.1","coding_mRNA",51879283.5,51990713.5,111.43,-111.43,"CATG00000000858.1-ENSG00000169213.6"
"ENSG00000198841.3","CATG00000000858.1","coding_mRNA",51879283.5,52033799.5,154.516,-154.516,"CATG00000000858.1-ENSG00000198841.3"
"ENSG00000023041.7","CATG00000000907.1","coding_mRNA",112226689.5,112446911,220.2215,-220.2215,"CATG00000000907.1-ENSG00000023041.7"
"ENSG00000119927.9","CATG00000000907.1","coding_mRNA",112226689.5,112183734,42.9555,42.9555,"CATG00000000907.1-ENSG00000119927.9"
"ENSG00000151532.9","CATG00000000907.1","coding_mRNA",112226689.5,112447240.5,220.551,-220.551,"CATG00000000907.1-ENSG00000151532.9"
"ENSG00000197142.6","CATG00000000907.1","coding_mRNA",112226689.5,112376229.5,149.54,-149.54,"CATG00000000907.1-ENSG00000197142.6"
"ENSG00000148737.11","CATG00000000920.1","coding_mRNA",113165772,112950256.5,215.5155,215.5155,"CATG00000000920.1-ENSG00000148737.11"
"ENSG00000099204.14","CATG00000000960.1","coding_mRNA",114718196,114768267.5,50.0715,-50.0715,"CATG00000000960.1-ENSG00000099204.14"
"ENSG00000151553.10","CATG00000000960.1","coding_mRNA",114718196,114821783,103.587,-103.587,"CATG00000000960.1-ENSG00000151553.10"
"ENSG00000165832.4","CATG00000000960.1","coding_mRNA",114718196,114938221,220.025,-220.025,"CATG00000000960.1-ENSG00000165832.4"
"ENSG00000085840.8","CATG00000001007.1","coding_mRNA",52365443.5,52404411,38.9675,-38.9675,"CATG00000001007.1-ENSG00000085840.8"
"ENSG00000116157.5","CATG00000001007.1","coding_mRNA",52365443.5,52602382,236.9385,-236.9385,"CATG00000001007.1-ENSG00000116157.5"
"ENSG00000134744.9","CATG00000001007.1","coding_mRNA",52365443.5,52553088.5,187.645,-187.645,"CATG00000001007.1-ENSG00000134744.9"
"ENSG00000134748.12","CATG00000001007.1","coding_mRNA",52365443.5,52404607,39.1635,-39.1635,"CATG00000001007.1-ENSG00000134748.12"
"ENSG00000154222.10","CATG00000001007.1","coding_mRNA",52365443.5,52366167.5,0.724,-0.724,"CATG00000001007.1-ENSG00000154222.10"
"ENSG00000157077.10","CATG00000001007.1","coding_mRNA",52365443.5,52142101.5,223.342,223.342,"CATG00000001007.1-ENSG00000157077.10"
"CATG00000116608.1","CATG00000001034.1","coding_mRNA",119207435.5,119080920,126.5155,126.5155,"CATG00000001034.1-CATG00000116608.1"
"ENSG00000107581.8","CATG00000001034.1","coding_mRNA",119207435.5,119080812,126.6235,126.6235,"CATG00000001034.1-ENSG00000107581.8"
"ENSG00000119979.11","CATG00000001034.1","coding_mRNA",119207435.5,119104097.5,103.338,103.338,"CATG00000001034.1-ENSG00000119979.11"
"ENSG00000165672.5","CATG00000001034.1","coding_mRNA",119207435.5,119178812,28.6235,28.6235,"CATG00000001034.1-ENSG00000165672.5"
"ENSG00000183605.12","CATG00000001034.1","coding_mRNA",119207435.5,119165683,41.7525,41.7525,"CATG00000001034.1-ENSG00000183605.12"
"ENSG00000188613.5","CATG00000001034.1","coding_mRNA",119207435.5,119029715.5,177.72,177.72,"CATG00000001034.1-ENSG00000188613.5"
"ENSG00000198873.10","CATG00000001034.1","coding_mRNA",119207435.5,119207589.5,0.154,-0.154,"CATG00000001034.1-ENSG00000198873.10"
"CATG00000116620.1","CATG00000001041.1","coding_mRNA",119651259,119542823.5,108.4355,108.4355,"CATG00000001041.1-CATG00000116620.1"
"ENSG00000107651.8","CATG00000001041.1","coding_mRNA",119651830.5,119892733.5,240.903,-240.903,"CATG00000001041.1-ENSG00000107651.8"
"ENSG00000148908.10","CATG00000001041.1","coding_mRNA",119651259,119542708.5,108.5505,108.5505,"CATG00000001041.1-ENSG00000148908.10"
"ENSG00000151923.13","CATG00000001041.1","coding_mRNA",119651259,119596667,54.592,54.592,"CATG00000001041.1-ENSG00000151923.13"
"ENSG00000151929.5","CATG00000001041.1","coding_mRNA",119651259,119651381.5,0.1225,-0.1225,"CATG00000001041.1-ENSG00000151929.5"
"ENSG00000197771.8","CATG00000001041.1","coding_mRNA",119651830.5,119872869.5,221.039,-221.039,"CATG00000001041.1-ENSG00000197771.8"
"ENSG00000198825.7","CATG00000001041.1","coding_mRNA",119651830.5,119726057.5,74.227,-74.227,"CATG00000001041.1-ENSG00000198825.7"
"CATG00000116620.1","CATG00000001043.1","coding_mRNA",119677213.5,119542823.5,134.39,134.39,"CATG00000001043.1-CATG00000116620.1"
"ENSG00000107651.8","CATG00000001043.1","coding_mRNA",119725785,119892733.5,166.9485,-166.9485,"CATG00000001043.1-ENSG00000107651.8"
"ENSG00000148908.10","CATG00000001043.1","coding_mRNA",119677213.5,119542708.5,134.505,134.505,"CATG00000001043.1-ENSG00000148908.10"
"ENSG00000151923.13","CATG00000001043.1","coding_mRNA",119677213.5,119596667,80.5465,80.5465,"CATG00000001043.1-ENSG00000151923.13"
"ENSG00000151929.5","CATG00000001043.1","coding_mRNA",119677213.5,119651569.5,25.644,25.644,"CATG00000001043.1-ENSG00000151929.5"
"ENSG00000197771.8","CATG00000001043.1","coding_mRNA",119725785,119872869.5,147.0845,-147.0845,"CATG00000001043.1-ENSG00000197771.8"
"ENSG00000198825.7","CATG00000001043.1","coding_mRNA",119725785,119726057.5,0.2725,-0.2725,"CATG00000001043.1-ENSG00000198825.7"
"CATG00000116620.1","CATG00000001044.1","coding_mRNA",119672449.5,119542823.5,129.626,129.626,"CATG00000001044.1-CATG00000116620.1"
"ENSG00000107651.8","CATG00000001044.1","coding_mRNA",119672449.5,119892733.5,220.284,-220.284,"CATG00000001044.1-ENSG00000107651.8"
"ENSG00000148908.10","CATG00000001044.1","coding_mRNA",119672449.5,119542708.5,129.741,129.741,"CATG00000001044.1-ENSG00000148908.10"
"ENSG00000151923.13","CATG00000001044.1","coding_mRNA",119672449.5,119596667,75.7825,75.7825,"CATG00000001044.1-ENSG00000151923.13"
"ENSG00000151929.5","CATG00000001044.1","coding_mRNA",119672449.5,119651569.5,20.88,20.88,"CATG00000001044.1-ENSG00000151929.5"
"ENSG00000197771.8","CATG00000001044.1","coding_mRNA",119672449.5,119872869.5,200.42,-200.42,"CATG00000001044.1-ENSG00000197771.8"
"ENSG00000198825.7","CATG00000001044.1","coding_mRNA",119672449.5,119726057.5,53.608,-53.608,"CATG00000001044.1-ENSG00000198825.7"
"ENSG00000107679.10","CATG00000001093.1","coding_mRNA",122375187,122374726,0.461,0.461,"CATG00000001093.1-ENSG00000107679.10"
"ENSG00000166033.7","CATG00000001093.1","coding_mRNA",122375187,122461555,86.368,-86.368,"CATG00000001093.1-ENSG00000166033.7"
"ENSG00000019995.6","CATG00000001138.1","coding_mRNA",124916699,124942730,26.031,-26.031,"CATG00000001138.1-ENSG00000019995.6"
"ENSG00000165660.7","CATG00000001138.1","coding_mRNA",124916699,124801813.5,114.8855,114.8855,"CATG00000001138.1-ENSG00000165660.7"
"ENSG00000175029.12","CATG00000001138.1","coding_mRNA",124916699,125161032.5,244.3335,-244.3335,"CATG00000001138.1-ENSG00000175029.12"
"ENSG00000189319.9","CATG00000001138.1","coding_mRNA",124916699,124744321.5,172.3775,172.3775,"CATG00000001138.1-ENSG00000189319.9"
"ENSG00000203791.9","CATG00000001138.1","coding_mRNA",124916699,124791857,124.842,124.842,"CATG00000001138.1-ENSG00000203791.9"
"ENSG00000258539.1","CATG00000001138.1","coding_mRNA",124916699,124791857,124.842,124.842,"CATG00000001138.1-ENSG00000258539.1"
