primiRID,primiRname,miRname,locus,strand,Stars,nameStars,Pt134_0h,Pt151_0h,Pt157_0h,Pt2279_0h,Pt134_4h,Pt151_4h,Pt157_4h,Pt2279_4h,Pt134_8h,Pt151_8h,Pt157_8h,Pt2279_8h,Pt134_24h,Pt151_24h,Pt157_24h,Pt2279_24h,Hour0_meanrpm,Hour0_serpm,Hour4_meanrpm,Hour4_serpm,Hour8_meanrpm,Hour8_serpm,Hour24_meanrpm,Hour24_serpm,rpm_max_treatment,padj_LRT,LogFC_0_4,preadj_0_4,LogFC_4_8,preadj_4_8,LogFC_8_24,preadj_8_24,LogFC_0_8,preadj_0_8,LogFC_0_24,preadj_0_24,LogFC_4_24,preadj_4_24,DE_LRT,DE_pairs,DE_consensus
MI0000073,hsa-mir-19a,hsa-miR-19a-5p,chr13:91350904-91350925,+,<1% RPMM,hsa-miR-19a-5p***,0,0,0.289140142,0,0,0.083254221,0,0,0,0,0,0,0,0.144634933,0.21762492,0,0.072285036,0.072285036,0.020813555,0.020813555,0,0,0.090564963,0.05436897,0.090564963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stable
MI0000074,hsa-mir-19b-1,hsa-miR-19b-3p,chr13:91351245-91351267,+,Single miR only,hsa-miR-19b-3p,14.01900946,48.6668908,47.85269351,33.86967099,16.57247245,66.76988525,40.42082546,24.1068323,23.93220044,16.04015414,30.76972769,70.1372469,23.44276073,44.40292458,29.05292682,33.9050122,36.10206619,8.106566488,36.96750386,11.11103635,35.21983229,12.02185496,32.70090608,4.447921954,36.96750386,0.997263686,0.06241877,1,0.002666344,1,-0.099873303,1,0.065085115,1,-0.034788189,1,-0.097206959,1,NA,NA,Stable
MI0000074,hsa-mir-19b-1,hsa-miR-19b-1-5p,chr13:91351207-91351229,+,<1% RPMM,hsa-miR-19b-1-5p***,0,0.671267459,0.144570071,0.555240508,0,0.249762663,0,0.573972198,0.368187699,0,0,0.500980335,0,0.144634933,0,0,0.34276951,0.16068312,0.205933715,0.136073109,0.217292009,0.128348552,0.036158733,0.036158733,0.34276951,NA,-1.095618475,NA,0.735620655,1,-2.090552557,1,-0.35999782,NA,-2.450550376,NA,-1.354931902,NA,NA,NA,Stable
MI0000075,hsa-mir-19b-2,hsa-miR-19b-3p,chrX:134169683-134169705,-,Single miR only,hsa-miR-19b-3p,1.274455405,8.72647697,3.035971491,2.035881863,0.439977145,13.23742114,1.852167205,0.765296263,2.577313894,2.74561197,1.019990973,6.01176402,2.694570199,6.074667206,1.95862428,3.148322562,3.768196432,1.691654943,4.073715438,3.069452587,3.088670214,1.048931418,3.469046061,0.90246477,4.073715438,0.997263686,-0.314957097,1,0.434712755,1,-0.004137282,1,0.119755658,1,0.115618376,1,0.430575474,1,NA,NA,Stable
MI0000076,hsa-mir-20a,hsa-miR-20a-3p,chr13:91351108-91351129,+,<1% RPMM,hsa-miR-20a-3p***,0.318613851,0.33563373,0.289140142,0.370160339,0.586636193,1.248813315,0.54475506,0.573972198,0.18409385,0,0.169998496,1.168954115,0.67364255,1.012444534,0.5440623,0.484357317,0.328387015,0.016914878,0.738544191,0.170315586,0.380761615,0.266039804,0.678626675,0.118077432,0.738544191,NA,1.229742623,1,-1.196196553,1,1.093205357,1,0.03354607,1,1.126751428,1,-0.102991195,1,NA,NA,Stable
MI0000076,hsa-mir-20a,hsa-miR-20a-5p,chr13:91351072-91351094,+,Single miR only,hsa-miR-20a-5p,56.71326554,148.2382306,49.44296429,108.4569792,56.90371071,173.7515592,39.98502141,55.86662723,90.94236169,34.39240257,21.07981344,154.6359301,95.52251354,108.1869302,31.22917602,90.57481831,90.71285991,23.24363487,81.62672965,30.9513417,75.26262695,30.48514372,81.37835953,17.1227724,90.71285991,0.997263686,-0.160831745,1,-0.169026553,1,0.160855161,1,-0.329858298,1,-0.169003137,1,-0.008171392,1,NA,NA,Stable
MI0000077,hsa-mir-21,hsa-miR-21-3p,chr17:59841311-59841331,+,<10% RPMM,hsa-miR-21-3p**,697.1271067,1966.5899,864.8181648,1218.197675,705.1367038,2629.418062,665.6906835,604.2014,704.3430685,493.4876252,420.7462764,1327.263901,1267.795278,1675.161799,514.9005606,596.2438574,1186.683211,281.7371547,1151.111712,493.2061635,736.4602177,205.9108781,1013.525374,277.6638424,1186.683211,0.989342575,-0.150690732,1,-0.41553884,1,0.338597259,1,-0.566229572,1,-0.227632313,1,-0.076941582,1,NA,NA,Stable
MI0000077,hsa-mir-21,hsa-miR-21-5p,chr17:59841273-59841294,+,Single miR only,hsa-miR-21-5p,20857.73716,45935.61538,31168.58446,30877.66497,24721.87578,54623.92695,24874.49661,17318.84576,25211.6527,16447.22724,16323.42554,43567.25385,26550.40854,36368.45402,19258.39086,19401.17452,32209.90049,5164.994773,30384.78627,8269.857866,25387.38983,6407.159376,25394.60698,4034.595985,32209.90049,0.992535394,-0.095814323,1,-0.190761836,1,-0.038594543,1,-0.286576159,1,-0.325170702,1,-0.229356379,1,NA,NA,Stable
MI0000078,hsa-mir-22,hsa-miR-22-5p,chr17:1713952-1713973,-,<1% RPMM,hsa-miR-22-5p***,25.32980118,15.99854111,19.37238952,16.65721524,22.29217533,17.06711531,18.41272103,16.45386966,26.14132664,17.77422486,19.0398315,12.52450838,27.48461603,16.92228722,14.90730702,15.74161281,19.33948676,2.126057536,18.55647033,1.310701582,18.86997284,2.804267892,18.76395577,2.936124925,19.33948676,0.997263686,-0.013526928,1,-0.045872736,1,0.013199128,1,-0.059399663,1,-0.046200535,1,-0.032673607,1,NA,NA,Stable
MI0000078,hsa-mir-22,hsa-miR-22-3p,chr17:1713914-1713935,-,Single miR only,hsa-miR-22-3p,41138.14603,43561.34238,41720.32023,37919.59525,49892.08827,46433.87621,41222.70491,34066.01522,55526.20281,40558.61354,38802.1566,41147.01786,52142.76264,39850.68468,40653.85842,41909.25905,41084.85097,1174.68134,42903.67115,3442.747588,44008.4977,3871.404637,43639.1412,2866.013287,44008.4977,0.993959075,0.081558329,1,-0.009373877,1,0.017480129,1,0.072184452,1,0.089664581,1,0.008106252,1,NA,NA,Stable
MI0000079,hsa-mir-23a,hsa-miR-23a-5p,chr19:13836630-13836651,-,<10% RPMM,hsa-miR-23a-5p**,75.83009661,55.37956539,94.69339652,112.1585826,101.0480842,109.3960464,78.22682664,165.3039929,135.3089794,105.7783138,54.56951706,184.6947502,127.1837134,83.74362648,51.25066865,170.0094183,84.51541028,12.22043545,113.4937375,18.48364801,120.0878901,27.23837536,108.0468567,25.855419,120.0878901,0.970837113,0.398957459,1,-0.018060502,1,-0.144565507,1,0.380896958,1,0.236331451,1,-0.162626008,1,NA,NA,Stable
MI0000079,hsa-mir-23a,hsa-miR-23a-3p,chr19:13836595-13836615,-,Single miR only,hsa-miR-23a-3p,3163.039009,2423.834917,2764.324328,3049.19579,2617.424034,2199.743028,2837.629108,3275.276683,2906.841885,2946.908679,3404.219873,3439.897974,2570.889426,2128.447681,2707.471629,3480.349503,2850.098511,164.9821564,2732.518213,224.1151352,3174.467103,143.3660745,2721.78956,281.4314045,3174.467103,0.847045307,-0.037433033,1,0.179632894,1,-0.213041685,0.925277432,0.142199861,1,-0.070841824,1,-0.033408791,1,NA,NA,Stable
MI0000080,hsa-mir-24-1,hsa-miR-24-1-5p,chr9:95086027-95086048,+,<1% RPMM,hsa-miR-24-1-5p***,2.548910811,2.125680288,2.168551065,1.110481016,1.61324953,2.414372409,1.63426518,1.530592527,1.656844646,0.578023573,1.52998646,3.3398689,3.502941258,2.748063736,0.76168722,0.484357317,1.988405795,0.307708519,1.798119912,0.206632418,1.776180895,0.574133694,1.874262383,0.740820675,1.988405795,0.997263686,-0.096651275,1,-0.025940257,1,-0.030944669,1,-0.122591532,1,-0.153536201,1,-0.056884927,1,NA,NA,Stable
MI0000080,hsa-mir-24-1,hsa-miR-24-3p,chr9:95086064-95086085,+,Single miR only,hsa-miR-24-3p,842.4150229,110.9828866,285.6704603,207.8450302,203.1227818,123.8822809,254.2916621,265.3664793,203.4237038,66.47271086,309.2272633,134.0957363,215.2961589,190.3395725,280.3008969,286.4973531,361.72835,164.1640043,211.665801,32.24858714,178.3048536,51.82704266,243.1084953,23.8466507,361.72835,0.707658112,-0.506468034,1,-0.442223354,1,0.704844941,1,-0.948691388,0.544742117,-0.243846448,1,0.262621586,1,NA,NA,Stable
MI0000081,hsa-mir-24-2,hsa-miR-24-2-5p,chr19:13836326-13836347,-,<10% RPMM,hsa-miR-24-2-5p**,85.70712601,122.5063113,120.8605794,94.20580619,106.1811509,149.2748183,102.1960493,82.07802425,141.936358,59.68093388,71.73936511,177.0130517,141.1954784,106.7405809,81.50053253,90.57481831,105.8199557,9.327688224,109.9325107,14.13510735,112.5924272,28.10646715,105.0028525,13.14487569,112.5924272,0.997263686,0.068829348,1,-0.027567471,1,-0.073624503,1,0.041261877,1,-0.032362626,1,-0.101191974,1,NA,NA,Stable
MI0000081,hsa-mir-24-2,hsa-miR-24-3p,chr19:13836289-13836310,-,Single miR only,hsa-miR-24-3p,2288.125373,1588.554442,2429.355473,1816.191702,2197.24586,1807.782155,2309.979357,1462.672483,2414.206743,1046.222667,1972.152546,1784.32496,2251.178672,2099.809964,2208.675313,1483.586463,2030.556748,197.2097934,1944.419964,193.2841452,1804.226729,285.0790734,2010.812603,178.6088447,2030.556748,0.992535394,-0.028305352,1,-0.167481326,1,0.214996813,1,-0.195786678,1,0.019210135,1,0.047515487,1,NA,NA,Stable
MI0000082,hsa-mir-25,hsa-miR-25-5p,chr7:100093610-100093630,-,<10% RPMM,hsa-miR-25-5p**,8.602573986,8.95023279,13.73415675,21.65437981,5.866361929,6.160812355,11.65775829,20.28035098,9.941067877,19.0747779,17.50984504,17.53431173,14.9548646,16.34374748,32.0996757,59.81812867,13.23533583,3.040747088,10.99132089,3.370574084,16.01500063,2.05746126,30.80410411,10.42350083,30.80410411,5.39E-05,-0.302986296,1,0.685355022,0.525419428,0.745546185,0.302903331,0.382368727,1,1.127914912,0.005258799,1.430901208,6.73E-05,DE,DE,DE
MI0000082,hsa-mir-25,hsa-miR-25-3p,chr7:100093571-100093592,-,Single miR only,hsa-miR-25-3p,1106.227292,1082.978168,1373.415675,1229.117404,836.9831882,1020.030716,1220.79609,1225.621966,880.1526948,1386.967563,1463.687046,1132.716537,805.1375753,995.666882,1232.953984,1244.071769,1197.934635,66.70281515,1075.85799,92.92208058,1215.88096,132.3846263,1069.457553,105.091754,1215.88096,0.970837113,-0.135553253,1,0.123578546,1,-0.157498258,1,-0.011974707,1,-0.169472965,1,-0.033919712,1,NA,NA,Stable
MI0000083,hsa-mir-26a-1,hsa-miR-26a-1-3p,chr3:37969452-37969473,+,<1% RPMM,hsa-miR-26a-1-3p***,1.433762331,0.895023279,1.734840852,1.295561185,1.026613338,0.999050652,0.435804048,0.956620329,0.736375398,0.867035359,1.869983451,0.33398689,0.943099569,0.867809601,1.41456198,0.242178659,1.339796912,0.174324792,0.854522092,0.140312969,0.951845274,0.326387638,0.866912452,0.240834937,1.339796912,NA,-0.571573224,1,-0.002267213,1,-0.023760732,1,-0.573840437,1,-0.597601169,1,-0.026027945,1,NA,NA,Stable
MI0000083,hsa-mir-26a-1,hsa-miR-26a-5p,chr3:37969413-37969434,+,Single miR only,hsa-miR-26a-5p,10499.44155,6901.636382,9430.016592,5656.605215,9479.747559,10916.45997,7925.096615,8242.623405,10208.55624,7657.367279,12797.82674,8121.726198,13565.14002,6455.490986,10647.40802,7893.571198,8121.924935,1115.4444,9140.981886,680.2272629,9696.369114,1173.25771,9640.402557,1570.899575,9696.369114,0.970837113,0.258743091,1,-0.001944622,1,-0.005103847,1,0.25679847,1,0.251694623,1,-0.007048468,1,NA,NA,Stable
