"geneID","AnchorGene","CAT_geneClassII","pairs","mid.x","mid.y","AbsDistLnc_PCG","DistLnc_PCG"
"ENSG00000255284.1","CATG00000001295.1","coding_mRNA","CATG00000001295.1-ENSG00000255284.1",568992,777590,208.598,-208.598
"ENSG00000021762.15","CATG00000001378.1","coding_mRNA","CATG00000001378.1-ENSG00000021762.15",2929835,3165290,235.455,-235.455
"ENSG00000110619.12","CATG00000001378.1","coding_mRNA","CATG00000001378.1-ENSG00000110619.12",2929835,3057409.5,127.5745,-127.5745
"ENSG00000110628.9","CATG00000001378.1","coding_mRNA","CATG00000001378.1-ENSG00000110628.9",2929835,2902305,27.53,27.53
"ENSG00000181649.5","CATG00000001378.1","coding_mRNA","CATG00000001378.1-ENSG00000181649.5",2929835,2929420.5,0.4145,0.4145
"ENSG00000205531.8","CATG00000001378.1","coding_mRNA","CATG00000001378.1-ENSG00000205531.8",2929835,2992305,62.47,-62.47
"ENSG00000051009.6","CATG00000001455.1","coding_mRNA","CATG00000001455.1-ENSG00000051009.6",6357491,6234636,122.855,122.855
"ENSG00000110171.14","CATG00000001455.1","coding_mRNA","CATG00000001455.1-ENSG00000110171.14",6357491,6473922,116.431,-116.431
"ENSG00000132254.8","CATG00000001455.1","coding_mRNA","CATG00000001455.1-ENSG00000132254.8",6357491,6481327,123.836,-123.836
"ENSG00000132275.6","CATG00000001455.1","coding_mRNA","CATG00000001455.1-ENSG00000132275.6",6357491,6603609.5,246.1185,-246.1185
"ENSG00000132286.7","CATG00000001455.1","coding_mRNA","CATG00000001455.1-ENSG00000132286.7",6357491,6481483.5,123.9925,-123.9925
"ENSG00000166311.5","CATG00000001455.1","coding_mRNA","CATG00000001455.1-ENSG00000166311.5",6357491,6390467,32.976,-32.976
"ENSG00000166313.14","CATG00000001455.1","coding_mRNA","CATG00000001455.1-ENSG00000166313.14",6357491,6419084.5,61.5935,-61.5935
"ENSG00000166333.9","CATG00000001455.1","coding_mRNA","CATG00000001455.1-ENSG00000166333.9",6357491,6603772.5,246.2815,-246.2815
"ENSG00000170955.9","CATG00000001455.1","coding_mRNA","CATG00000001455.1-ENSG00000170955.9",6357491,6320512.5,36.9785,36.9785
"ENSG00000265264.1","CATG00000001455.1","coding_mRNA","CATG00000001455.1-ENSG00000265264.1",6357491,6481483.5,123.9925,-123.9925
"ENSG00000110171.14","CATG00000001464.1","coding_mRNA","CATG00000001464.1-ENSG00000110171.14",6612330,6473922,138.408,138.408
"ENSG00000132254.8","CATG00000001464.1","coding_mRNA","CATG00000001464.1-ENSG00000132254.8",6612330,6481327,131.003,131.003
"ENSG00000132275.6","CATG00000001464.1","coding_mRNA","CATG00000001464.1-ENSG00000132275.6",6612330,6603661,8.669,8.669
"ENSG00000132286.7","CATG00000001464.1","coding_mRNA","CATG00000001464.1-ENSG00000132286.7",6612330,6481483.5,130.8465,130.8465
"ENSG00000158042.8","CATG00000001464.1","coding_mRNA","CATG00000001464.1-ENSG00000158042.8",6612780.5,6683315,70.5345,-70.5345
"ENSG00000166311.5","CATG00000001464.1","coding_mRNA","CATG00000001464.1-ENSG00000166311.5",6612330,6390467,221.863,221.863
"ENSG00000166313.14","CATG00000001464.1","coding_mRNA","CATG00000001464.1-ENSG00000166313.14",6612330,6419084.5,193.2455,193.2455
"ENSG00000166333.9","CATG00000001464.1","coding_mRNA","CATG00000001464.1-ENSG00000166333.9",6612330,6603772.5,8.5575,8.5575
"ENSG00000166337.5","CATG00000001464.1","coding_mRNA","CATG00000001464.1-ENSG00000166337.5",6612330,6612200.5,0.1295,0.1295
"ENSG00000166340.10","CATG00000001464.1","coding_mRNA","CATG00000001464.1-ENSG00000166340.10",6612780.5,6619421,6.6405,-6.6405
"ENSG00000265264.1","CATG00000001464.1","coding_mRNA","CATG00000001464.1-ENSG00000265264.1",6612330,6481483.5,130.8465,130.8465
"ENSG00000110171.14","CATG00000001465.1","coding_mRNA","CATG00000001465.1-ENSG00000110171.14",6617728.5,6473922,143.8065,143.8065
"ENSG00000132254.8","CATG00000001465.1","coding_mRNA","CATG00000001465.1-ENSG00000132254.8",6617728.5,6481327,136.4015,136.4015
"ENSG00000132275.6","CATG00000001465.1","coding_mRNA","CATG00000001465.1-ENSG00000132275.6",6617728.5,6603661,14.0675,14.0675
"ENSG00000132286.7","CATG00000001465.1","coding_mRNA","CATG00000001465.1-ENSG00000132286.7",6617728.5,6481483.5,136.245,136.245
"ENSG00000158042.8","CATG00000001465.1","coding_mRNA","CATG00000001465.1-ENSG00000158042.8",6617728.5,6683315,65.5865,-65.5865
"ENSG00000166311.5","CATG00000001465.1","coding_mRNA","CATG00000001465.1-ENSG00000166311.5",6617728.5,6390467,227.2615,227.2615
"ENSG00000166313.14","CATG00000001465.1","coding_mRNA","CATG00000001465.1-ENSG00000166313.14",6617728.5,6419084.5,198.644,198.644
"ENSG00000166333.9","CATG00000001465.1","coding_mRNA","CATG00000001465.1-ENSG00000166333.9",6617728.5,6603772.5,13.956,13.956
"ENSG00000166337.5","CATG00000001465.1","coding_mRNA","CATG00000001465.1-ENSG00000166337.5",6617728.5,6612200.5,5.528,5.528
"ENSG00000166340.10","CATG00000001465.1","coding_mRNA","CATG00000001465.1-ENSG00000166340.10",6617728.5,6619421,1.6925,-1.6925
"ENSG00000265264.1","CATG00000001465.1","coding_mRNA","CATG00000001465.1-ENSG00000265264.1",6617728.5,6481483.5,136.245,136.245
"ENSG00000166471.6","CATG00000001508.1","coding_mRNA","CATG00000001508.1-ENSG00000166471.6",9265472,9314610,49.138,-49.138
"ENSG00000166478.5","CATG00000001508.1","coding_mRNA","CATG00000001508.1-ENSG00000166478.5",9265472,9461019,195.547,-195.547
"ENSG00000175356.8","CATG00000001508.1","coding_mRNA","CATG00000001508.1-ENSG00000175356.8",9265472,9139076.5,126.3955,126.3955
"ENSG00000184014.3","CATG00000001508.1","coding_mRNA","CATG00000001508.1-ENSG00000184014.3",9265472,9265337.5,0.1345,0.1345
"ENSG00000205339.5","CATG00000001508.1","coding_mRNA","CATG00000001508.1-ENSG00000205339.5",9265472,9384643,119.171,-119.171
"ENSG00000268403.1","CATG00000001508.1","coding_mRNA","CATG00000001508.1-ENSG00000268403.1",9265472,9460625,195.153,-195.153
"ENSG00000110321.11","CATG00000001540.1","coding_mRNA","CATG00000001540.1-ENSG00000110321.11",10916055.5,10808932,107.1235,107.1235
"ENSG00000198730.3","CATG00000001540.1","coding_mRNA","CATG00000001540.1-ENSG00000198730.3",10916055.5,10751232,164.8235,164.8235
"ENSG00000236287.3","CATG00000001540.1","coding_mRNA","CATG00000001540.1-ENSG00000236287.3",10916055.5,10858060,57.9955,57.9955
"ENSG00000157216.11","CATG00000001614.1","coding_mRNA","CATG00000001614.1-ENSG00000157216.11",54488524,54406418,82.106,82.106
"ENSG00000162390.13","CATG00000001614.1","coding_mRNA","CATG00000001614.1-ENSG00000162390.13",54488524,54542273,53.749,-53.749
"ENSG00000243725.2","CATG00000001614.1","coding_mRNA","CATG00000001614.1-ENSG00000243725.2",54488524,54715864.5,227.3405,-227.3405
"ENSG00000271723.1","CATG00000001614.1","coding_mRNA","CATG00000001614.1-ENSG00000271723.1",54488524,54547690.5,59.1665,-59.1665
"ENSG00000074319.8","CATG00000001674.1","coding_mRNA","CATG00000001674.1-ENSG00000074319.8",18526976.5,18526916.5,0.06,0.06
"ENSG00000110756.13","CATG00000001674.1","coding_mRNA","CATG00000001674.1-ENSG00000110756.13",18526683.5,18322148.5,204.535,204.535
"ENSG00000110768.7","CATG00000001674.1","coding_mRNA","CATG00000001674.1-ENSG00000110768.7",18526683.5,18322570.5,204.113,204.113
"ENSG00000134333.9","CATG00000001674.1","coding_mRNA","CATG00000001674.1-ENSG00000134333.9",18526683.5,18394564,132.1195,132.1195
"ENSG00000151116.12","CATG00000001674.1","coding_mRNA","CATG00000001674.1-ENSG00000151116.12",18526976.5,18588680,61.7035,-61.7035
"ENSG00000151117.4","CATG00000001674.1","coding_mRNA","CATG00000001674.1-ENSG00000151117.4",18526976.5,18698778.5,171.802,-171.802
"ENSG00000179119.10","CATG00000001674.1","coding_mRNA","CATG00000001674.1-ENSG00000179119.10",18526976.5,18634343.5,107.367,-107.367
"ENSG00000129173.8","CATG00000001690.1","coding_mRNA","CATG00000001690.1-ENSG00000129173.8",19296070.5,19241660.5,54.41,54.41
"ENSG00000177054.9","CATG00000001690.1","coding_mRNA","CATG00000001690.1-ENSG00000177054.9",19296070.5,19117154.5,178.916,178.916
"ENSG00000171714.10","CATG00000001740.1","coding_mRNA","CATG00000001740.1-ENSG00000171714.10",22153432,21912595,240.837,240.837
"ENSG00000085063.10","CATG00000001980.1","coding_mRNA","CATG00000001980.1-ENSG00000085063.10",33893949.5,33736421,157.5285,157.5285
"ENSG00000110429.9","CATG00000001980.1","coding_mRNA","CATG00000001980.1-ENSG00000110429.9",33893949.5,33774512.5,119.437,119.437
"ENSG00000135363.7","CATG00000001980.1","coding_mRNA","CATG00000001980.1-ENSG00000135363.7",33893949.5,33869852.5,24.097,24.097
"ENSG00000135372.4","CATG00000001980.1","coding_mRNA","CATG00000001980.1-ENSG00000135372.4",33893949.5,34105619,211.6695,-211.6695
"ENSG00000135387.15","CATG00000001980.1","coding_mRNA","CATG00000001980.1-ENSG00000135387.15",33893949.5,34051684,157.7345,-157.7345
"ENSG00000026508.12","CATG00000002023.1","coding_mRNA","CATG00000002023.1-ENSG00000026508.12",35088031,35139171,51.14,-51.14
"ENSG00000110435.7","CATG00000002023.1","coding_mRNA","CATG00000002023.1-ENSG00000110435.7",35050074.5,34916634.5,133.44,133.44
"ENSG00000149089.8","CATG00000002023.1","coding_mRNA","CATG00000002023.1-ENSG00000149089.8",35050074.5,34916354.5,133.72,133.72
"ENSG00000110492.11","CATG00000002208.1","coding_mRNA","CATG00000002208.1-ENSG00000110492.11",46593766,46381668.5,212.0975,212.0975
"ENSG00000110497.10","CATG00000002208.1","coding_mRNA","CATG00000002208.1-ENSG00000110497.10",46593766,46594033,0.267,-0.267
"ENSG00000149091.11","CATG00000002208.1","coding_mRNA","CATG00000002208.1-ENSG00000149091.11",46593766,46361601.5,232.1645,232.1645
"ENSG00000175213.2","CATG00000002208.1","coding_mRNA","CATG00000002208.1-ENSG00000175213.2",46593766,46701028,107.262,-107.262
"ENSG00000175220.7","CATG00000002208.1","coding_mRNA","CATG00000002208.1-ENSG00000175220.7",46593766,46700600.5,106.8345,-106.8345
"ENSG00000175224.12","CATG00000002208.1","coding_mRNA","CATG00000002208.1-ENSG00000175224.12",46593766,46617294,23.528,-23.528
"ENSG00000180423.4","CATG00000002208.1","coding_mRNA","CATG00000002208.1-ENSG00000180423.4",46593766,46616829.5,23.0635,-23.0635
"CATG00000002232.1","CATG00000002236.1","coding_mRNA","CATG00000002236.1-CATG00000002232.1",47378637,47245314.5,133.3225,133.3225
"ENSG00000025434.14","CATG00000002236.1","coding_mRNA","CATG00000002236.1-ENSG00000025434.14",47378637,47257983,120.654,120.654
"ENSG00000066336.7","CATG00000002236.1","coding_mRNA","CATG00000002236.1-ENSG00000066336.7",47378637,47378541.5,0.0955,0.0955
"ENSG00000110514.14","CATG00000002236.1","coding_mRNA","CATG00000002236.1-ENSG00000110514.14",47378637,47270135.5,108.5015,108.5015
"ENSG00000110536.9","CATG00000002236.1","coding_mRNA","CATG00000002236.1-ENSG00000110536.9",47378637,47565602.5,186.9655,-186.9655
